Journal_Title,JCR_Version,Total_Citations,JIF,Eigenfactor Score
Health Information and Libraries Journal,2008,187,0.939,0.00074
COLLEGE & RESEARCH LIBRARIES,2008,556,0.781,0.00187
SOCIAL SCIENCE COMPUTER REVIEW,2008,360,0.714,0.00159
INFORMATION TECHNOLOGY AND LIBRARIES,2008,98,0.703,0.00052
LIBRARY RESOURCES & TECHNICAL SERVICES,2008,158,0.698,0.00051
JOURNAL OF ACADEMIC LIBRARIANSHIP,2008,503,0.667,0.00177
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2008,95,0.562,0.00042
LEARNED PUBLISHING,2008,102,0.559,0.00058
ASLIB PROCEEDINGS,2008,196,0.493,0.00052
INTERLENDING & DOCUMENT SUPPLY,2008,92,0.484,0.00014
JOURNAL OF SCHOLARLY PUBLISHING,2008,38,0.455,0.00018
KNOWLEDGE ORGANIZATION,2008,128,0.429,0.00026
Profesional de la Informacion,2008,85,0.4,8.00E-05
ELECTRONIC LIBRARY,2008,161,0.393,0.00046
LIBRARY JOURNAL,2008,365,0.388,0.00166
SERIALS REVIEW,2008,112,0.383,0.00044
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2008,85,0.364,0.00056
LIBRARY QUARTERLY,2008,287,0.364,0.00059
SCIENTIST,2008,311,0.353,0.00172
ONLINE,2008,89,0.352,0.00033
LIBRARY HI TECH,2008,109,0.344,0.00084
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2008,295,0.341,0.00054
REFERENCE & USER SERVICES QUARTERLY,2008,105,0.339,0.00044
LAW LIBRARY JOURNAL,2008,217,0.296,9.00E-05
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2008,193,0.286,0.00019
ECONTENT,2008,58,0.271,0.00032
LIBRARY TRENDS,2008,386,0.239,0.00102
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2008,110,0.172,0.00015
LIBRI,2008,113,0.156,0.00039
LIBRARY AND INFORMATION SCIENCE,2008,26,0.091,0
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2008,4,0.019,2.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2008,55,0,0.00014
MIS QUARTERLY,2009,"6,186",4.485,0.00958
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2009,"4,183",3.974,0.01361
Journal of Computer-Mediated Communication,2009,"1,279",3.639,0.00454
Journal of Informetrics,2009,253,3.379,0.00149
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2009,563,2.929,0.00151
International Journal of Computer-Supported Collaborative Learning,2009,229,2.692,0.00046
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2009,"5,167",2.3,0.01065
INFORMATION & MANAGEMENT,2009,"3,276",2.282,0.00641
Journal of the Association for Information Systems,2009,430,2.246,0.00222
SCIENTOMETRICS,2009,"3,508",2.167,0.00752
GOVERNMENT INFORMATION QUARTERLY,2009,598,2.098,0.00108
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2009,"2,650",2.098,0.00446
JOURNAL OF INFORMATION TECHNOLOGY,2009,879,2.049,0.0019
INFORMATION SYSTEMS RESEARCH,2009,"3,037",1.792,0.00436
INFORMATION PROCESSING & MANAGEMENT,2009,"2,412",1.783,0.00561
JOURNAL OF INFORMATION SCIENCE,2009,939,1.706,0.00287
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2009,"1,997",1.533,0.00279
Health Information and Libraries Journal,2009,330,1.521,0.00115
ONLINE INFORMATION REVIEW,2009,324,1.423,0.00102
INFORMATION SYSTEMS JOURNAL,2009,598,1.419,0.00126
JOURNAL OF DOCUMENTATION,2009,"1,063",1.405,0.00186
JOURNAL OF HEALTH COMMUNICATION,2009,"1,010",1.344,0.00441
LIBRARY & INFORMATION SCIENCE RESEARCH,2009,504,1.236,0.00118
Information Technology & Management,2009,73,1.222,0.0004
INFORMATION SOCIETY,2009,603,1.111,0.00184
JOURNAL OF ACADEMIC LIBRARIANSHIP,2009,594,1,0.00184
TELECOMMUNICATIONS POLICY,2009,725,0.969,0.00174
RESEARCH EVALUATION,2009,243,0.963,0.00071
SERIALS REVIEW,2009,146,0.952,0.00076
PORTAL-LIBRARIES AND THE ACADEMY,2009,221,0.896,0.00092
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2009,516,0.889,0.00247
LIBRARY QUARTERLY,2009,320,0.857,0.00054
COLLEGE & RESEARCH LIBRARIES,2009,556,0.855,0.00123
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2009,575,0.723,0.00094
LEARNED PUBLISHING,2009,145,0.722,0.00067
Journal of Global Information Management,2009,227,0.706,0.00076
SOCIAL SCIENCE COMPUTER REVIEW,2009,502,0.635,0.00182
INFORMATION TECHNOLOGY AND LIBRARIES,2009,121,0.618,0.00059
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2009,463,0.604,0.00068
ASLIB PROCEEDINGS,2009,223,0.595,0.00059
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2009,139,0.581,0.00035
KNOWLEDGE ORGANIZATION,2009,112,0.552,0.00027
ELECTRONIC LIBRARY,2009,201,0.544,0.00044
Malaysian Journal of Library & Information Science,2009,75,0.533,5.00E-05
REFERENCE & USER SERVICES QUARTERLY,2009,128,0.533,0.00052
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2009,501,0.49,0.00158
Profesional de la Informacion,2009,121,0.478,0.00032
LIBRARY RESOURCES & TECHNICAL SERVICES,2009,159,0.444,0.00051
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2009,80,0.429,0.00043
INTERLENDING & DOCUMENT SUPPLY,2009,111,0.403,0.00021
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2009,141,0.4,0.00013
LIBRARY TRENDS,2009,455,0.393,0.00086
LAW LIBRARY JOURNAL,2009,197,0.385,0.00011
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2009,262,0.385,0.00029
LIBRARY JOURNAL,2009,444,0.343,0.00177
SCIENTIST,2009,374,0.31,0.00163
ONLINE,2009,108,0.3,0.00048
LIBRARY HI TECH,2009,166,0.272,0.00071
JOURNAL OF SCHOLARLY PUBLISHING,2009,32,0.237,0.0001
LIBRI,2009,130,0.16,0.00033
African Journal of Library Archives and Information Science,2009,16,0.129,2.00E-05
Investigacion Bibliotecologica,2009,11,0.125,1.00E-05
LIBRARY AND INFORMATION SCIENCE,2009,8,0.125,0
ECONTENT,2009,47,0.079,0.00024
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2009,7,0.04,3.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2009,60,0,6.00E-05
MIS QUARTERLY,2010,"7,419",5.041,0.00926
INFORMATION SYSTEMS RESEARCH,2010,"3,517",3.358,0.0047
Journal of Informetrics,2010,397,3.119,0.00193
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2010,"3,619",3.088,0.01257
JOURNAL OF INFORMATION TECHNOLOGY,2010,"1,083",2.907,0.00211
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2010,910,2.9,0.00103
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2010,"3,080",2.662,0.00458
INFORMATION & MANAGEMENT,2010,"3,273",2.627,0.00506
Journal of the Association for Information Systems,2010,579,2.217,0.00243
INFORMATION SYSTEMS JOURNAL,2010,695,2.184,0.00138
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2010,"4,202",2.137,0.01024
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2010,428,2,0.00142
Journal of Computer-Mediated Communication,2010,"1,482",1.958,0.00632
SCIENTOMETRICS,2010,"3,602",1.905,0.00785
GOVERNMENT INFORMATION QUARTERLY,2010,650,1.878,0.00156
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2010,"1,071",1.767,0.00264
INFORMATION PROCESSING & MANAGEMENT,2010,"1,936",1.673,0.00527
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2010,860,1.564,0.00129
MIS Quarterly Executive,2010,269,1.562,0.001
JOURNAL OF HEALTH COMMUNICATION,2010,"1,194",1.5,0.00475
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2010,"1,931",1.489,0.00293
International Journal of Computer-Supported Collaborative Learning,2010,160,1.487,0.00055
JOURNAL OF DOCUMENTATION,2010,995,1.447,0.00174
JOURNAL OF INFORMATION SCIENCE,2010,923,1.406,0.00208
LIBRARY & INFORMATION SCIENCE RESEARCH,2010,444,1.362,0.00103
INFORMATION SOCIETY,2010,615,1.24,0.00139
Journal of Global Information Management,2010,285,1.222,0.00055
LEARNED PUBLISHING,2010,173,1.037,0.00071
ONLINE INFORMATION REVIEW,2010,311,0.991,0.00151
TELECOMMUNICATIONS POLICY,2010,635,0.963,0.00143
RESEARCH EVALUATION,2010,270,0.939,0.00101
SOCIAL SCIENCE COMPUTER REVIEW,2010,550,0.913,0.00143
LAW LIBRARY JOURNAL,2010,176,0.898,8.00E-05
JOURNAL OF ACADEMIC LIBRARIANSHIP,2010,561,0.87,0.00237
PORTAL-LIBRARIES AND THE ACADEMY,2010,208,0.87,0.00134
Knowledge Management Research & Practice,2010,172,0.855,0.00037
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2010,526,0.844,0.00234
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2010,429,0.822,0.00127
Health Information and Libraries Journal,2010,301,0.761,0.00095
Information Technology & Management,2010,102,0.727,0.00048
SERIALS REVIEW,2010,119,0.707,0.00047
COLLEGE & RESEARCH LIBRARIES,2010,491,0.683,0.00154
LIBRARY TRENDS,2010,442,0.667,0.00119
LIBRARY QUARTERLY,2010,256,0.651,0.0009
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2010,92,0.636,0.00034
ASLIB PROCEEDINGS,2010,249,0.6,0.00089
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2010,250,0.596,0.00044
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2010,445,0.55,0.00041
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2010,79,0.529,0.00032
INFORMATION TECHNOLOGY AND LIBRARIES,2010,104,0.528,0.00049
ONLINE,2010,161,0.522,0.00057
JOURNAL OF SCHOLARLY PUBLISHING,2010,69,0.521,0.00024
ELECTRONIC LIBRARY,2010,212,0.489,0.00088
Revista Espanola de Documentacion Cientifica,2010,80,0.489,0.00015
Australian Academic & Research Libraries,2010,53,0.457,0.00026
LIBRARY HI TECH,2010,182,0.413,0.00116
Profesional de la Informacion,2010,111,0.375,0.00029
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2010,183,0.375,0.00018
LIBRI,2010,121,0.365,0.00019
Malaysian Journal of Library & Information Science,2010,42,0.353,8.00E-05
REFERENCE & USER SERVICES QUARTERLY,2010,104,0.338,0.00039
INTERLENDING & DOCUMENT SUPPLY,2010,71,0.308,0.00021
SCIENTIST,2010,245,0.252,0.0008
LIBRARY RESOURCES & TECHNICAL SERVICES,2010,100,0.239,0.00028
LIBRARY JOURNAL,2010,322,0.191,0.00116
Perspectivas em Ciencia da Informacao,2010,75,0.178,0.00011
Information Development,2010,49,0.143,0.00016
African Journal of Library Archives and Information Science,2010,31,0.129,7.00E-05
ECONTENT,2010,37,0.068,0.00022
Informacao & Sociedade-Estudos,2010,29,0.068,9.00E-05
Informacios Tarsadalom,2010,10,0.057,0
Transinformacao,2010,39,0.05,8.00E-05
LIBRARY AND INFORMATION SCIENCE,2010,8,0.045,8.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2010,17,0.023,1.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2010,37,0,6.00E-05
Investigacion Bibliotecologica,2010,15,0,0.00012
Libraries & The Cultural Record,2010,4,0,0.00017
MIS QUARTERLY,2011,6761,4.447,0.00977
Journal of Informetrics,2011,709,4.229,0.004
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2011,4071,3.609,0.01361
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2011,462,2.955,0.00142
JOURNAL OF INFORMATION TECHNOLOGY,2011,967,2.321,0.00268
International Journal of Computer-Supported Collaborative Learning,2011,302,2.243,0.00134
INFORMATION & MANAGEMENT,2011,3282,2.214,0.00506
Journal of Computer-Mediated Communication,2011,1744,2.172,0.00801
INFORMATION SYSTEMS RESEARCH,2011,3286,2.146,0.0057
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2011,4295,2.081,0.01311
INFORMATION SYSTEMS JOURNAL,2011,694,2.067,0.00176
SCIENTOMETRICS,2011,4048,1.966,0.01008
MIS Quarterly Executive,2011,234,1.743,0.00114
Journal of the Association for Information Systems,2011,620,1.667,0.00317
LIBRARY & INFORMATION SCIENCE RESEARCH,2011,539,1.625,0.00179
JOURNAL OF HEALTH COMMUNICATION,2011,1419,1.608,0.00483
TELECOMMUNICATIONS POLICY,2011,822,1.539,0.0019
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2011,862,1.532,0.00139
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2011,972,1.5,0.00304
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2011,1906,1.472,0.00405
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2011,652,1.457,0.001
GOVERNMENT INFORMATION QUARTERLY,2011,585,1.425,0.00143
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2011,2530,1.423,0.00406
JOURNAL OF INFORMATION SCIENCE,2011,807,1.299,0.00274
Journal of Knowledge Management,2011,1072,1.248,0.00121
INFORMATION SOCIETY,2011,623,1.235,0.00139
INFORMATION PROCESSING & MANAGEMENT,2011,1647,1.119,0.00518
SOCIAL SCIENCE COMPUTER REVIEW,2011,560,1.075,0.00169
JOURNAL OF DOCUMENTATION,2011,893,1.058,0.0022
SERIALS REVIEW,2011,142,1.048,0.00059
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2011,548,0.988,0.00187
ONLINE INFORMATION REVIEW,2011,398,0.939,0.00154
Health Information and Libraries Journal,2011,323,0.889,0.00107
LEARNED PUBLISHING,2011,191,0.887,0.00073
RESEARCH EVALUATION,2011,389,0.845,0.00127
COLLEGE & RESEARCH LIBRARIES,2011,405,0.825,0.00109
LIBRARY QUARTERLY,2011,287,0.789,0.0008
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2011,475,0.775,0.00162
PORTAL-LIBRARIES AND THE ACADEMY,2011,224,0.75,0.00093
Information and Organization,2011,189,0.667,0.00062
Information Technology & People,2011,225,0.657,0.00054
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2011,325,0.641,0.0007
LIBRARY RESOURCES & TECHNICAL SERVICES,2011,115,0.641,0.00021
ASLIB PROCEEDINGS,2011,256,0.635,0.00093
JOURNAL OF SCHOLARLY PUBLISHING,2011,80,0.628,0.00028
Information Technology for Development,2011,109,0.605,0.00027
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2011,496,0.596,0.00065
JOURNAL OF ACADEMIC LIBRARIANSHIP,2011,580,0.586,0.0019
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2011,148,0.583,0.00047
Revista Espanola de Documentacion Cientifica,2011,86,0.574,0.00028
Libraries & The Cultural Record,2011,43,0.571,0.00017
Ethics and Information Technology,2011,185,0.564,0.0004
LIBRARY HI TECH,2011,217,0.533,0.00088
Journal of Global Information Management,2011,303,0.514,0.00049
SCIENTIST,2011,264,0.51,0.0008
ELECTRONIC LIBRARY,2011,233,0.5,0.00066
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2011,78,0.444,0.00023
ONLINE,2011,228,0.434,0.00056
Knowledge Management Research & Practice,2011,165,0.414,0.00042
Malaysian Journal of Library & Information Science,2011,55,0.381,0.00008
Australian Academic & Research Libraries,2011,67,0.333,0.00016
Profesional de la Informacion,2011,130,0.326,0.00025
LIBRARY TRENDS,2011,410,0.313,0.00094
KNOWLEDGE ORGANIZATION,2011,127,0.312,0.00012
INTERLENDING & DOCUMENT SUPPLY,2011,108,0.29,0.00015
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2011,217,0.283,0.00024
Australian Library Journal,2011,82,0.275,0.00012
LIBRARY JOURNAL,2011,276,0.266,0.00067
LIBRI,2011,128,0.259,0.00038
INFORMATION TECHNOLOGY AND LIBRARIES,2011,76,0.25,0.00029
REFERENCE & USER SERVICES QUARTERLY,2011,110,0.228,0.00047
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2011,57,0.222,0.0001
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2011,139,0.206,0.00008
Information Development,2011,55,0.205,0.00016
Information Technology & Management,2011,124,0.138,0.00048
Perspectivas em Ciencia da Informacao,2011,59,0.106,0.00018
African Journal of Library Archives and Information Science,2011,25,0.103,3.00E-05
Investigacion Bibliotecologica,2011,12,0.083,0.00002
Transinformacao,2011,28,0.083,0.00009
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2011,6,0.071,0
ECONTENT,2011,10,0.053,3.00E-05
LIBRARY AND INFORMATION SCIENCE,2011,9,0.04,0.00001
Informacao & Sociedade-Estudos,2011,26,0.015,6.00E-05
MIS QUARTERLY,2012,7277,4.659,0.0103
Journal of Informetrics,2012,943,4.153,0.00476
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2012,5012,3.571,0.01317
JOURNAL OF INFORMATION TECHNOLOGY,2012,1165,3.532,0.0032
Information Technology & Management,2012,247,3.025,0.0006
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2012,380,2.174,0.00114
SCIENTOMETRICS,2012,4555,2.133,0.00931
JOURNAL OF HEALTH COMMUNICATION,2012,1614,2.079,0.00503
INFORMATION SYSTEMS RESEARCH,2012,3443,2.01,0.00583
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2012,4613,2.005,0.01252
GOVERNMENT INFORMATION QUARTERLY,2012,835,1.91,0.00184
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2012,970,1.843,0.00219
Journal of Computer-Mediated Communication,2012,1868,1.778,0.00787
International Journal of Computer-Supported Collaborative Learning,2012,377,1.717,0.00137
INFORMATION & MANAGEMENT,2012,3091,1.663,0.00396
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2012,2284,1.613,0.00375
TELECOMMUNICATIONS POLICY,2012,961,1.594,0.00177
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2012,1268,1.558,0.00352
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2012,743,1.5,0.00111
Journal of Knowledge Management,2012,1392,1.474,0.00177
LIBRARY & INFORMATION SCIENCE RESEARCH,2012,526,1.4,0.00154
INFORMATION SYSTEMS JOURNAL,2012,696,1.381,0.00161
Information and Organization,2012,261,1.381,0.0009
SOCIAL SCIENCE COMPUTER REVIEW,2012,628,1.303,0.00207
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2012,2645,1.262,0.00327
JOURNAL OF INFORMATION SCIENCE,2012,827,1.238,0.00208
LEARNED PUBLISHING,2012,208,1.182,0.00101
MIS Quarterly Executive,2012,189,1.143,0.00079
JOURNAL OF DOCUMENTATION,2012,907,1.138,0.00177
INFORMATION SOCIETY,2012,561,1.114,0.00115
RESEARCH EVALUATION,2012,411,1.074,0.00115
Knowledge Management Research & Practice,2012,240,1.069,0.00051
Journal of the Association for Information Systems,2012,751,1.048,0.00306
COLLEGE & RESEARCH LIBRARIES,2012,441,1.016,0.00117
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2012,627,0.976,0.00127
LIBRARY RESOURCES & TECHNICAL SERVICES,2012,131,0.969,0.00031
ONLINE INFORMATION REVIEW,2012,480,0.939,0.0015
Journal of Global Information Technology Management,2012,117,0.917,0.00014
JOURNAL OF ACADEMIC LIBRARIANSHIP,2012,561,0.885,0.00181
Ethics and Information Technology,2012,227,0.846,0.00058
INFORMATION PROCESSING & MANAGEMENT,2012,1681,0.817,0.00367
Information Technology & People,2012,322,0.767,0.00059
LIBRARY QUARTERLY,2012,267,0.743,0.00057
ELECTRONIC LIBRARY,2012,257,0.667,0.0007
Health Information and Libraries Journal,2012,364,0.662,0.00108
LIBRARY HI TECH,2012,255,0.621,0.00085
INFORMATION TECHNOLOGY AND LIBRARIES,2012,92,0.595,0.00039
SERIALS REVIEW,2012,109,0.524,0.00035
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2012,400,0.52,0.00136
Australian Academic & Research Libraries,2012,58,0.512,0.00017
Revista Espanola de Documentacion Cientifica,2012,88,0.453,0.0002
Journal of Global Information Management,2012,335,0.452,0.00028
Profesional de la Informacion,2012,176,0.439,0.00049
ASLIB PROCEEDINGS,2012,248,0.432,0.001
Malaysian Journal of Library & Information Science,2012,66,0.423,0.00022
KNOWLEDGE ORGANIZATION,2012,102,0.407,0.00015
PORTAL-LIBRARIES AND THE ACADEMY,2012,183,0.4,0.00061
LIBRARY JOURNAL,2012,340,0.397,0.00091
SCIENTIST,2012,244,0.387,0.00065
Information Technology for Development,2012,131,0.378,0.00022
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2012,179,0.377,0.00035
Information Development,2012,74,0.375,0.00016
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2012,200,0.375,0.00014
LIBRI,2012,125,0.368,0.00033
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2012,323,0.341,0.00043
ONLINE,2012,138,0.341,0.0003
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2012,109,0.286,0.00035
LIBRARY TRENDS,2012,357,0.273,0.00052
JOURNAL OF SCHOLARLY PUBLISHING,2012,61,0.25,0.0002
Journal of Organizational and End User Computing,2012,71,0.243,0.00017
Australian Library Journal,2012,45,0.239,0.00015
INTERLENDING & DOCUMENT SUPPLY,2012,65,0.231,0.00011
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2012,100,0.185,0.00038
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2012,41,0.171,0.00009
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2012,512,0.167,0.00068
Transinformacao,2012,27,0.167,0.00011
Libraries & The Cultural Record,2012,15,0.158,0.00005
Informacao & Sociedade-Estudos,2012,23,0.155,0.0001
ECONTENT,2012,28,0.127,0.00009
African Journal of Library Archives and Information Science,2012,28,0.111,0.0001
Perspectivas em Ciencia da Informacao,2012,45,0.101,0.00015
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2012,9,0.07,0
Investigacion Bibliotecologica,2012,20,0.062,0.00001
LIBRARY AND INFORMATION SCIENCE,2012,4,0.05,0
Informacios Tarsadalom,2012,1,0,0
MIS QUARTERLY,2013,8705,5.405,0.01037
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2013,5937,3.932,0.01359
JOURNAL OF INFORMATION TECHNOLOGY,2013,1282,3.789,0.00375
Journal of Informetrics,2013,1152,3.58,0.00513
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2013,878,2.571,0.00158
Information and Organization,2013,338,2.538,0.00113
INFORMATION SYSTEMS RESEARCH,2013,4393,2.322,0.00711
SCIENTOMETRICS,2013,5129,2.274,0.01144
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2013,5125,2.23,0.01309
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2013,1169,2.042,0.00237
GOVERNMENT INFORMATION QUARTERLY,2013,879,2.033,0.00188
Journal of Computer-Mediated Communication,2013,2368,2.019,0.00546
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2013,3021,1.925,0.00349
JOURNAL OF HEALTH COMMUNICATION,2013,1925,1.869,0.0052
International Journal of Computer-Supported Collaborative Learning,2013,417,1.83,0.00168
INFORMATION & MANAGEMENT,2013,3384,1.788,0.00355
